Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;41027 Castilblanco de los Arroyos;1 persona;656
Total Nacional;41027 Castilblanco de los Arroyos;2 personas;576
Total Nacional;41027 Castilblanco de los Arroyos;3 personas;410
Total Nacional;41027 Castilblanco de los Arroyos;4 personas;337
Total Nacional;41027 Castilblanco de los Arroyos;5 o más personas;129
Total Nacional;41028 Castilleja de Guzmán;Total (tamaño del hogar);935
Total Nacional;41028 Castilleja de Guzmán;1 persona;112
Total Nacional;41028 Castilleja de Guzmán;2 personas;208
Total Nacional;41028 Castilleja de Guzmán;3 personas;248
Total Nacional;41028 Castilleja de Guzmán;4 personas;269
Total Nacional;41028 Castilleja de Guzmán;5 o más personas;98
Total Nacional;41029 Castilleja de la Cuesta;Total (tamaño del hogar);6.328
Total Nacional;41029 Castilleja de la Cuesta;1 persona;1.296
Total Nacional;41029 Castilleja de la Cuesta;2 personas;1.669
Total Nacional;41029 Castilleja de la Cuesta;3 personas;1.496
Total Nacional;41029 Castilleja de la Cuesta;4 personas;1.368
Total Nacional;41029 Castilleja de la Cuesta;5 o más personas;499
Total Nacional;41030 Castilleja del Campo;Total (tamaño del hogar);249
Total Nacional;41030 Castilleja del Campo;1 persona;71
Total Nacional;41030 Castilleja del Campo;2 personas;64
Total Nacional;41030 Castilleja del Campo;3 personas;53
Total Nacional;41030 Castilleja del Campo;4 personas;39
Total Nacional;41030 Castilleja del Campo;5 o más personas;22
Total Nacional;41031 Castillo de las Guardas, El;Total (tamaño del hogar);658
Total Nacional;41031 Castillo de las Guardas, El;1 persona;249
Total Nacional;41031 Castillo de las Guardas, El;2 personas;168
Total Nacional;41031 Castillo de las Guardas, El;3 personas;114
Total Nacional;41031 Castillo de las Guardas, El;4 personas;93
Total Nacional;41031 Castillo de las Guardas, El;5 o más personas;34
Total Nacional;41032 Cazalla de la Sierra;Total (tamaño del hogar);1.882
Total Nacional;41032 Cazalla de la Sierra;1 persona;517
Total Nacional;41032 Cazalla de la Sierra;2 personas;514
Total Nacional;41032 Cazalla de la Sierra;3 personas;355
Total Nacional;41032 Cazalla de la Sierra;4 personas;374
Total Nacional;41032 Cazalla de la Sierra;5 o más personas;122
Total Nacional;41033 Constantina;Total (tamaño del hogar);2.335
Total Nacional;41033 Constantina;1 persona;627
Total Nacional;41033 Constantina;2 personas;647
Total Nacional;41033 Constantina;3 personas;509
Total Nacional;41033 Constantina;4 personas;412
Total Nacional;41033 Constantina;5 o más personas;140
Total Nacional;41034 Coria del Río;Total (tamaño del hogar);11.234
Total Nacional;41034 Coria del Río;1 persona;2.208
Total Nacional;41034 Coria del Río;2 personas;3.019
Total Nacional;41034 Coria del Río;3 personas;2.676
Total Nacional;41034 Coria del Río;4 personas;2.489
Total Nacional;41034 Coria del Río;5 o más personas;842
Total Nacional;41035 Coripe;Total (tamaño del hogar);560
Total Nacional;41035 Coripe;1 persona;194
Total Nacional;41035 Coripe;2 personas;180
Total Nacional;41035 Coripe;3 personas;87
Total Nacional;41035 Coripe;4 personas;74
Total Nacional;41035 Coripe;5 o más personas;25
Total Nacional;41036 Coronil, El;Total (tamaño del hogar);1.794
Total Nacional;41036 Coronil, El;1 persona;422
Total Nacional;41036 Coronil, El;2 personas;505
Total Nacional;41036 Coronil, El;3 personas;396
Total Nacional;41036 Coronil, El;4 personas;345
Total Nacional;41036 Coronil, El;5 o más personas;126
Total Nacional;41037 Corrales, Los;Total (tamaño del hogar);1.546
Total Nacional;41037 Corrales, Los;1 persona;325
Total Nacional;41037 Corrales, Los;2 personas;497
Total Nacional;41037 Corrales, Los;3 personas;327
Total Nacional;41037 Corrales, Los;4 personas;326
Total Nacional;41037 Corrales, Los;5 o más personas;71
Total Nacional;41038 Dos Hermanas;Total (tamaño del hogar);47.885
Total Nacional;41038 Dos Hermanas;1 persona;8.428
Total Nacional;41038 Dos Hermanas;2 personas;12.496
Total Nacional;41038 Dos Hermanas;3 personas;11.436
Total Nacional;41038 Dos Hermanas;4 personas;11.426
Total Nacional;41038 Dos Hermanas;5 o más personas;4.099
Total Nacional;41039 Écija;Total (tamaño del hogar);14.885
Total Nacional;41039 Écija;1 persona;3.296
Total Nacional;41039 Écija;2 personas;4.083
Total Nacional;41039 Écija;3 personas;3.205
Total Nacional;41039 Écija;4 personas;3.179
Total Nacional;41039 Écija;5 o más personas;1.122
Total Nacional;41040 Espartinas;Total (tamaño del hogar);5.249
Total Nacional;41040 Espartinas;1 persona;787
Total Nacional;41040 Espartinas;2 personas;1.140
Total Nacional;41040 Espartinas;3 personas;1.228
Total Nacional;41040 Espartinas;4 personas;1.519
Total Nacional;41040 Espartinas;5 o más personas;575
Total Nacional;41041 Estepa;Total (tamaño del hogar);4.641
Total Nacional;41041 Estepa;1 persona;1.087
Total Nacional;41041 Estepa;2 personas;1.201
Total Nacional;41041 Estepa;3 personas;1.003
Total Nacional;41041 Estepa;4 personas;976
Total Nacional;41041 Estepa;5 o más personas;374
Total Nacional;41042 Fuentes de Andalucía;Total (tamaño del hogar);2.737
Total Nacional;41042 Fuentes de Andalucía;1 persona;633
Total Nacional;41042 Fuentes de Andalucía;2 personas;775
Total Nacional;41042 Fuentes de Andalucía;3 personas;583
Total Nacional;41042 Fuentes de Andalucía;4 personas;585
Total Nacional;41042 Fuentes de Andalucía;5 o más personas;161
Total Nacional;41043 Garrobo, El;Total (tamaño del hogar);347
Total Nacional;41043 Garrobo, El;1 persona;105
Total Nacional;41043 Garrobo, El;2 personas;96
Total Nacional;41043 Garrobo, El;3 personas;83
Total Nacional;41043 Garrobo, El;4 personas;55
Total Nacional;41043 Garrobo, El;5 o más personas;8
Total Nacional;41044 Gelves;Total (tamaño del hogar);3.742
Total Nacional;41044 Gelves;1 persona;850
Total Nacional;41044 Gelves;2 personas;850
Total Nacional;41044 Gelves;3 personas;890
Total Nacional;41044 Gelves;4 personas;789
Total Nacional;41044 Gelves;5 o más personas;363
Total Nacional;41045 Gerena;Total (tamaño del hogar);2.806
Total Nacional;41045 Gerena;1 persona;585
Total Nacional;41045 Gerena;2 personas;702
Total Nacional;41045 Gerena;3 personas;645
Total Nacional;41045 Gerena;4 personas;660
Total Nacional;41045 Gerena;5 o más personas;214
Total Nacional;41046 Gilena;Total (tamaño del hogar);1.390
Total Nacional;41046 Gilena;1 persona;306
Total Nacional;41046 Gilena;2 personas;375
Total Nacional;41046 Gilena;3 personas;300
Total Nacional;41046 Gilena;4 personas;310
Total Nacional;41046 Gilena;5 o más personas;99
Total Nacional;41047 Gines;Total (tamaño del hogar);4.527
Total Nacional;41047 Gines;1 persona;733
Total Nacional;41047 Gines;2 personas;1.040
Total Nacional;41047 Gines;3 personas;1.059
Total Nacional;41047 Gines;4 personas;1.163
Total Nacional;41047 Gines;5 o más personas;532
Total Nacional;41048 Guadalcanal;Total (tamaño del hogar);1.044
Total Nacional;41048 Guadalcanal;1 persona;307
Total Nacional;41048 Guadalcanal;2 personas;275
Total Nacional;41048 Guadalcanal;3 personas;207
Total Nacional;41048 Guadalcanal;4 personas;201
Total Nacional;41048 Guadalcanal;5 o más personas;54
Total Nacional;41049 Guillena;Total (tamaño del hogar);4.705
Total Nacional;41049 Guillena;1 persona;953
Total Nacional;41049 Guillena;2 personas;1.153
Total Nacional;41049 Guillena;3 personas;1.139
Total Nacional;41049 Guillena;4 personas;1.060
Total Nacional;41049 Guillena;5 o más personas;400
Total Nacional;41050 Herrera;Total (tamaño del hogar);2.405
Total Nacional;41050 Herrera;1 persona;545
Total Nacional;41050 Herrera;2 personas;650
Total Nacional;41050 Herrera;3 personas;507
Total Nacional;41050 Herrera;4 personas;491
Total Nacional;41050 Herrera;5 o más personas;212
Total Nacional;41051 Huévar del Aljarafe;Total (tamaño del hogar);1.146
Total Nacional;41051 Huévar del Aljarafe;1 persona;244
Total Nacional;41051 Huévar del Aljarafe;2 personas;304
Total Nacional;41051 Huévar del Aljarafe;3 personas;262
Total Nacional;41051 Huévar del Aljarafe;4 personas;233
Total Nacional;41051 Huévar del Aljarafe;5 o más personas;103
Total Nacional;41052 Lantejuela;Total (tamaño del hogar);1.470
Total Nacional;41052 Lantejuela;1 persona;359
Total Nacional;41052 Lantejuela;2 personas;396
Total Nacional;41052 Lantejuela;3 personas;302
Total Nacional;41052 Lantejuela;4 personas;298
Total Nacional;41052 Lantejuela;5 o más personas;115
Total Nacional;41053 Lebrija;Total (tamaño del hogar);10.077
Total Nacional;41053 Lebrija;1 persona;2.014
Total Nacional;41053 Lebrija;2 personas;2.614
Total Nacional;41053 Lebrija;3 personas;2.373
Total Nacional;41053 Lebrija;4 personas;2.447
Total Nacional;41053 Lebrija;5 o más personas;629
Total Nacional;41054 Lora de Estepa;Total (tamaño del hogar);388
Total Nacional;41054 Lora de Estepa;1 persona;132
Total Nacional;41054 Lora de Estepa;2 personas;112
Total Nacional;41054 Lora de Estepa;3 personas;76
Total Nacional;41054 Lora de Estepa;4 personas;54
Total Nacional;41054 Lora de Estepa;5 o más personas;14
Total Nacional;41055 Lora del Río;Total (tamaño del hogar);6.980
Total Nacional;41055 Lora del Río;1 persona;1.541
Total Nacional;41055 Lora del Río;2 personas;1.921
Total Nacional;41055 Lora del Río;3 personas;1.524
Total Nacional;41055 Lora del Río;4 personas;1.526
Total Nacional;41055 Lora del Río;5 o más personas;468
Total Nacional;41056 Luisiana, La;Total (tamaño del hogar);1.802
Total Nacional;41056 Luisiana, La;1 persona;448
Total Nacional;41056 Luisiana, La;2 personas;500
Total Nacional;41056 Luisiana, La;3 personas;390
Total Nacional;41056 Luisiana, La;4 personas;376
Total Nacional;41056 Luisiana, La;5 o más personas;88
Total Nacional;41057 Madroño, El;Total (tamaño del hogar);160
Total Nacional;41057 Madroño, El;1 persona;87
Total Nacional;41057 Madroño, El;2 personas;33
Total Nacional;41057 Madroño, El;3 personas;22
Total Nacional;41057 Madroño, El;4 personas;14
Total Nacional;41057 Madroño, El;5 o más personas;4
Total Nacional;41058 Mairena del Alcor;Total (tamaño del hogar);8.144
Total Nacional;41058 Mairena del Alcor;1 persona;1.299
Total Nacional;41058 Mairena del Alcor;2 personas;2.045
Total Nacional;41058 Mairena del Alcor;3 personas;1.867
Total Nacional;41058 Mairena del Alcor;4 personas;2.137
Total Nacional;41058 Mairena del Alcor;5 o más personas;796
Total Nacional;41059 Mairena del Aljarafe;Total (tamaño del hogar);16.548
Total Nacional;41059 Mairena del Aljarafe;1 persona;3.151
Total Nacional;41059 Mairena del Aljarafe;2 personas;4.123
Total Nacional;41059 Mairena del Aljarafe;3 personas;3.923
Total Nacional;41059 Mairena del Aljarafe;4 personas;3.811
Total Nacional;41059 Mairena del Aljarafe;5 o más personas;1.540
Total Nacional;41060 Marchena;Total (tamaño del hogar);7.051
Total Nacional;41060 Marchena;1 persona;1.460
Total Nacional;41060 Marchena;2 personas;1.896
Total Nacional;41060 Marchena;3 personas;1.495
Total Nacional;41060 Marchena;4 personas;1.655
Total Nacional;41060 Marchena;5 o más personas;545
Total Nacional;41061 Marinaleda;Total (tamaño del hogar);970
Total Nacional;41061 Marinaleda;1 persona;212
Total Nacional;41061 Marinaleda;2 personas;255
Total Nacional;41061 Marinaleda;3 personas;239
Total Nacional;41061 Marinaleda;4 personas;177
Total Nacional;41061 Marinaleda;5 o más personas;87
Total Nacional;41062 Martín de la Jara;Total (tamaño del hogar);1.042
Total Nacional;41062 Martín de la Jara;1 persona;252
Total Nacional;41062 Martín de la Jara;2 personas;295
Total Nacional;41062 Martín de la Jara;3 personas;228
Total Nacional;41062 Martín de la Jara;4 personas;208
Total Nacional;41062 Martín de la Jara;5 o más personas;59
Total Nacional;41063 Molares, Los;Total (tamaño del hogar);1.262
Total Nacional;41063 Molares, Los;1 persona;241
Total Nacional;41063 Molares, Los;2 personas;334
Total Nacional;41063 Molares, Los;3 personas;264
Total Nacional;41063 Molares, Los;4 personas;307
Total Nacional;41063 Molares, Los;5 o más personas;116
Total Nacional;41064 Montellano;Total (tamaño del hogar);2.762
Total Nacional;41064 Montellano;1 persona;723
Total Nacional;41064 Montellano;2 personas;777
Total Nacional;41064 Montellano;3 personas;587
Total Nacional;41064 Montellano;4 personas;501
Total Nacional;41064 Montellano;5 o más personas;174
Total Nacional;41065 Morón de la Frontera;Total (tamaño del hogar);10.322
Total Nacional;41065 Morón de la Frontera;1 persona;2.249
Total Nacional;41065 Morón de la Frontera;2 personas;2.875
Total Nacional;41065 Morón de la Frontera;3 personas;2.435
Total Nacional;41065 Morón de la Frontera;4 personas;2.068
Total Nacional;41065 Morón de la Frontera;5 o más personas;695
Total Nacional;41066 Navas de la Concepción, Las;Total (tamaño del hogar);662
Total Nacional;41066 Navas de la Concepción, Las;1 persona;209
Total Nacional;41066 Navas de la Concepción, Las;2 personas;206
Total Nacional;41066 Navas de la Concepción, Las;3 personas;116
Total Nacional;41066 Navas de la Concepción, Las;4 personas;103
Total Nacional;41066 Navas de la Concepción, Las;5 o más personas;28
Total Nacional;41067 Olivares;Total (tamaño del hogar);3.318
Total Nacional;41067 Olivares;1 persona;661
Total Nacional;41067 Olivares;2 personas;800
Total Nacional;41067 Olivares;3 personas;738
Total Nacional;41067 Olivares;4 personas;776
Total Nacional;41067 Olivares;5 o más personas;343
Total Nacional;41068 Osuna;Total (tamaño del hogar);6.220
Total Nacional;41068 Osuna;1 persona;1.273
Total Nacional;41068 Osuna;2 personas;1.607
Total Nacional;41068 Osuna;3 personas;1.350
Total Nacional;41068 Osuna;4 personas;1.332
Total Nacional;41068 Osuna;5 o más personas;658
Total Nacional;41069 Palacios y Villafranca, Los;Total (tamaño del hogar);13.187
Total Nacional;41069 Palacios y Villafranca, Los;1 persona;2.330
Total Nacional;41069 Palacios y Villafranca, Los;2 personas;3.286
Total Nacional;41069 Palacios y Villafranca, Los;3 personas;2.837
Total Nacional;41069 Palacios y Villafranca, Los;4 personas;3.213
Total Nacional;41069 Palacios y Villafranca, Los;5 o más personas;1.521
Total Nacional;41070 Palomares del Río;Total (tamaño del hogar);3.045
Total Nacional;41070 Palomares del Río;1 persona;506
Total Nacional;41070 Palomares del Río;2 personas;718
Total Nacional;41070 Palomares del Río;3 personas;691
Total Nacional;41070 Palomares del Río;4 personas;818
Total Nacional;41070 Palomares del Río;5 o más personas;312
Total Nacional;41071 Paradas;Total (tamaño del hogar);2.743
Total Nacional;41071 Paradas;1 persona;723
Total Nacional;41071 Paradas;2 personas;774
Total Nacional;41071 Paradas;3 personas;558
Total Nacional;41071 Paradas;4 personas;553
Total Nacional;41071 Paradas;5 o más personas;135
Total Nacional;41072 Pedrera;Total (tamaño del hogar);1.854
Total Nacional;41072 Pedrera;1 persona;385
Total Nacional;41072 Pedrera;2 personas;461
Total Nacional;41072 Pedrera;3 personas;409
Total Nacional;41072 Pedrera;4 personas;424
Total Nacional;41072 Pedrera;5 o más personas;175
Total Nacional;41073 Pedroso, El;Total (tamaño del hogar);872
Total Nacional;41073 Pedroso, El;1 persona;281
Total Nacional;41073 Pedroso, El;2 personas;253
Total Nacional;41073 Pedroso, El;3 personas;165
Total Nacional;41073 Pedroso, El;4 personas;126
Total Nacional;41073 Pedroso, El;5 o más personas;47
Total Nacional;41074 Peñaflor;Total (tamaño del hogar);1.404
Total Nacional;41074 Peñaflor;1 persona;331
Total Nacional;41074 Peñaflor;2 personas;405
Total Nacional;41074 Peñaflor;3 personas;301
Total Nacional;41074 Peñaflor;4 personas;261
Total Nacional;41074 Peñaflor;5 o más personas;106
Total Nacional;41075 Pilas;Total (tamaño del hogar);5.192
Total Nacional;41075 Pilas;1 persona;1.204
Total Nacional;41075 Pilas;2 personas;1.358
Total Nacional;41075 Pilas;3 personas;1.129
Total Nacional;41075 Pilas;4 personas;1.092
Total Nacional;41075 Pilas;5 o más personas;409
Total Nacional;41076 Pruna;Total (tamaño del hogar);1.059
Total Nacional;41076 Pruna;1 persona;302
Total Nacional;41076 Pruna;2 personas;301
Total Nacional;41076 Pruna;3 personas;220
Total Nacional;41076 Pruna;4 personas;165
Total Nacional;41076 Pruna;5 o más personas;71
Total Nacional;41077 Puebla de Cazalla, La;Total (tamaño del hogar);3.914
Total Nacional;41077 Puebla de Cazalla, La;1 persona;839
Total Nacional;41077 Puebla de Cazalla, La;2 personas;1.014
Total Nacional;41077 Puebla de Cazalla, La;3 personas;818
Total Nacional;41077 Puebla de Cazalla, La;4 personas;875
Total Nacional;41077 Puebla de Cazalla, La;5 o más personas;368
Total Nacional;41078 Puebla de los Infantes, La;Total (tamaño del hogar);1.190
Total Nacional;41078 Puebla de los Infantes, La;1 persona;346
Total Nacional;41078 Puebla de los Infantes, La;2 personas;307
Total Nacional;41078 Puebla de los Infantes, La;3 personas;239
Total Nacional;41078 Puebla de los Infantes, La;4 personas;215
Total Nacional;41078 Puebla de los Infantes, La;5 o más personas;83
Total Nacional;41079 Puebla del Río, La;Total (tamaño del hogar);4.254
Total Nacional;41079 Puebla del Río, La;1 persona;789
Total Nacional;41079 Puebla del Río, La;2 personas;1.145
Total Nacional;41079 Puebla del Río, La;3 personas;1.017
Total Nacional;41079 Puebla del Río, La;4 personas;972
Total Nacional;41079 Puebla del Río, La;5 o más personas;331
Total Nacional;41080 Real de la Jara, El;Total (tamaño del hogar);600
Total Nacional;41080 Real de la Jara, El;1 persona;167
Total Nacional;41080 Real de la Jara, El;2 personas;160
Total Nacional;41080 Real de la Jara, El;3 personas;118
Total Nacional;41080 Real de la Jara, El;4 personas;118
Total Nacional;41080 Real de la Jara, El;5 o más personas;37
Total Nacional;41081 Rinconada, La;Total (tamaño del hogar);13.665
Total Nacional;41081 Rinconada, La;1 persona;2.195
Total Nacional;41081 Rinconada, La;2 personas;3.641
Total Nacional;41081 Rinconada, La;3 personas;3.330
Total Nacional;41081 Rinconada, La;4 personas;3.470
Total Nacional;41081 Rinconada, La;5 o más personas;1.029
Total Nacional;41082 Roda de Andalucía, La;Total (tamaño del hogar);1.600
Total Nacional;41082 Roda de Andalucía, La;1 persona;339
Total Nacional;41082 Roda de Andalucía, La;2 personas;472
Total Nacional;41082 Roda de Andalucía, La;3 personas;363
Total Nacional;41082 Roda de Andalucía, La;4 personas;327
Total Nacional;41082 Roda de Andalucía, La;5 o más personas;99
Total Nacional;41083 Ronquillo, El;Total (tamaño del hogar);607
Total Nacional;41083 Ronquillo, El;1 persona;202
Total Nacional;41083 Ronquillo, El;2 personas;173
Total Nacional;41083 Ronquillo, El;3 personas;108
Total Nacional;41083 Ronquillo, El;4 personas;100
Total Nacional;41083 Ronquillo, El;5 o más personas;24
Total Nacional;41084 Rubio, El;Total (tamaño del hogar);1.345
Total Nacional;41084 Rubio, El;1 persona;335
Total Nacional;41084 Rubio, El;2 personas;390
Total Nacional;41084 Rubio, El;3 personas;320
Total Nacional;41084 Rubio, El;4 personas;227
Total Nacional;41084 Rubio, El;5 o más personas;73
Total Nacional;41085 Salteras;Total (tamaño del hogar);1.946
Total Nacional;41085 Salteras;1 persona;355
Total Nacional;41085 Salteras;2 personas;465
Total Nacional;41085 Salteras;3 personas;442
Total Nacional;41085 Salteras;4 personas;482
Total Nacional;41085 Salteras;5 o más personas;202
Total Nacional;41086 San Juan de Aznalfarache;Total (tamaño del hogar);8.654
Total Nacional;41086 San Juan de Aznalfarache;1 persona;2.217
Total Nacional;41086 San Juan de Aznalfarache;2 personas;2.414
Total Nacional;41086 San Juan de Aznalfarache;3 personas;1.887
Total Nacional;41086 San Juan de Aznalfarache;4 personas;1.490
Total Nacional;41086 San Juan de Aznalfarache;5 o más personas;646
Total Nacional;41087 Sanlúcar la Mayor;Total (tamaño del hogar);5.019
Total Nacional;41087 Sanlúcar la Mayor;1 persona;1.079
Total Nacional;41087 Sanlúcar la Mayor;2 personas;1.235
Total Nacional;41087 Sanlúcar la Mayor;3 personas;1.097
Total Nacional;41087 Sanlúcar la Mayor;4 personas;1.124
Total Nacional;41087 Sanlúcar la Mayor;5 o más personas;484
Total Nacional;41088 San Nicolás del Puerto;Total (tamaño del hogar);285
Total Nacional;41088 San Nicolás del Puerto;1 persona;114
Total Nacional;41088 San Nicolás del Puerto;2 personas;76
Total Nacional;41088 San Nicolás del Puerto;3 personas;48
Total Nacional;41088 San Nicolás del Puerto;4 personas;37
Total Nacional;41088 San Nicolás del Puerto;5 o más personas;10
Total Nacional;41089 Santiponce;Total (tamaño del hogar);2.980
Total Nacional;41089 Santiponce;1 persona;539
Total Nacional;41089 Santiponce;2 personas;749
Total Nacional;41089 Santiponce;3 personas;699
Total Nacional;41089 Santiponce;4 personas;747
Total Nacional;41089 Santiponce;5 o más personas;246
Total Nacional;41090 Saucejo, El;Total (tamaño del hogar);1.650
Total Nacional;41090 Saucejo, El;1 persona;420
Total Nacional;41090 Saucejo, El;2 personas;459
Total Nacional;41090 Saucejo, El;3 personas;345
Total Nacional;41090 Saucejo, El;4 personas;313
Total Nacional;41090 Saucejo, El;5 o más personas;113
Total Nacional;41091 Sevilla;Total (tamaño del hogar);266.703
Total Nacional;41091 Sevilla;1 persona;71.199
Total Nacional;41091 Sevilla;2 personas;73.926
Total Nacional;41091 Sevilla;3 personas;54.470
Total Nacional;41091 Sevilla;4 personas;47.022
Total Nacional;41091 Sevilla;5 o más personas;20.086
Total Nacional;41092 Tocina;Total (tamaño del hogar);3.585
Total Nacional;41092 Tocina;1 persona;710
Total Nacional;41092 Tocina;2 personas;1.024
Total Nacional;41092 Tocina;3 personas;909
Total Nacional;41092 Tocina;4 personas;723
Total Nacional;41092 Tocina;5 o más personas;219
Total Nacional;41093 Tomares;Total (tamaño del hogar);8.776
Total Nacional;41093 Tomares;1 persona;1.585
Total Nacional;41093 Tomares;2 personas;2.146
Total Nacional;41093 Tomares;3 personas;1.959
Total Nacional;41093 Tomares;4 personas;2.118
Total Nacional;41093 Tomares;5 o más personas;968
Total Nacional;41094 Umbrete;Total (tamaño del hogar);3.178
Total Nacional;41094 Umbrete;1 persona;561
Total Nacional;41094 Umbrete;2 personas;766
Total Nacional;41094 Umbrete;3 personas;760
Total Nacional;41094 Umbrete;4 personas;823
Total Nacional;41094 Umbrete;5 o más personas;268
Total Nacional;41095 Utrera;Total (tamaño del hogar);18.708
Total Nacional;41095 Utrera;1 persona;3.809
Total Nacional;41095 Utrera;2 personas;5.114
Total Nacional;41095 Utrera;3 personas;4.225
Total Nacional;41095 Utrera;4 personas;4.090
Total Nacional;41095 Utrera;5 o más personas;1.470
Total Nacional;41096 Valencina de la Concepción;Total (tamaño del hogar);2.785
Total Nacional;41096 Valencina de la Concepción;1 persona;513
Total Nacional;41096 Valencina de la Concepción;2 personas;732
Total Nacional;41096 Valencina de la Concepción;3 personas;641
Total Nacional;41096 Valencina de la Concepción;4 personas;612
Total Nacional;41096 Valencina de la Concepción;5 o más personas;287
Total Nacional;41097 Villamanrique de la Condesa;Total (tamaño del hogar);1.699
Total Nacional;41097 Villamanrique de la Condesa;1 persona;387
Total Nacional;41097 Villamanrique de la Condesa;2 personas;451
Total Nacional;41097 Villamanrique de la Condesa;3 personas;382
Total Nacional;41097 Villamanrique de la Condesa;4 personas;369
Total Nacional;41097 Villamanrique de la Condesa;5 o más personas;110
Total Nacional;41098 Villanueva del Ariscal;Total (tamaño del hogar);2.386
Total Nacional;41098 Villanueva del Ariscal;1 persona;508
Total Nacional;41098 Villanueva del Ariscal;2 personas;554
Total Nacional;41098 Villanueva del Ariscal;3 personas;548
Total Nacional;41098 Villanueva del Ariscal;4 personas;556
Total Nacional;41098 Villanueva del Ariscal;5 o más personas;220
Total Nacional;41099 Villanueva del Río y Minas;Total (tamaño del hogar);1.963
Total Nacional;41099 Villanueva del Río y Minas;1 persona;576
Total Nacional;41099 Villanueva del Río y Minas;2 personas;526
Total Nacional;41099 Villanueva del Río y Minas;3 personas;403
Total Nacional;41099 Villanueva del Río y Minas;4 personas;310
Total Nacional;41099 Villanueva del Río y Minas;5 o más personas;148
Total Nacional;41100 Villanueva de San Juan;Total (tamaño del hogar);492
Total Nacional;41100 Villanueva de San Juan;1 persona;174
Total Nacional;41100 Villanueva de San Juan;2 personas;148
Total Nacional;41100 Villanueva de San Juan;3 personas;96
Total Nacional;41100 Villanueva de San Juan;4 personas;58
Total Nacional;41100 Villanueva de San Juan;5 o más personas;16
Total Nacional;41101 Villaverde del Río;Total (tamaño del hogar);2.658
Total Nacional;41101 Villaverde del Río;1 persona;454
Total Nacional;41101 Villaverde del Río;2 personas;675
Total Nacional;41101 Villaverde del Río;3 personas;593
Total Nacional;41101 Villaverde del Río;4 personas;631
Total Nacional;41101 Villaverde del Río;5 o más personas;305
Total Nacional;41102 Viso del Alcor, El;Total (tamaño del hogar);6.419
Total Nacional;41102 Viso del Alcor, El;1 persona;1.068
Total Nacional;41102 Viso del Alcor, El;2 personas;1.453
Total Nacional;41102 Viso del Alcor, El;3 personas;1.417
Total Nacional;41102 Viso del Alcor, El;4 personas;1.687
Total Nacional;41102 Viso del Alcor, El;5 o más personas;794
Total Nacional;41901 Cañada Rosal;Total (tamaño del hogar);1.254
Total Nacional;41901 Cañada Rosal;1 persona;260
Total Nacional;41901 Cañada Rosal;2 personas;336
Total Nacional;41901 Cañada Rosal;3 personas;297
Total Nacional;41901 Cañada Rosal;4 personas;305
Total Nacional;41901 Cañada Rosal;5 o más personas;56
Total Nacional;41902 Isla Mayor;Total (tamaño del hogar);2.279
Total Nacional;41902 Isla Mayor;1 persona;509
Total Nacional;41902 Isla Mayor;2 personas;667
Total Nacional;41902 Isla Mayor;3 personas;566
Total Nacional;41902 Isla Mayor;4 personas;417
Total Nacional;41902 Isla Mayor;5 o más personas;120
Total Nacional;41903 Cuervo de Sevilla, El;Total (tamaño del hogar);3.175
Total Nacional;41903 Cuervo de Sevilla, El;1 persona;647
Total Nacional;41903 Cuervo de Sevilla, El;2 personas;804
Total Nacional;41903 Cuervo de Sevilla, El;3 personas;835
Total Nacional;41903 Cuervo de Sevilla, El;4 personas;664
Total Nacional;41903 Cuervo de Sevilla, El;5 o más personas;225
Total Nacional;41904 Palmar de Troya, El;Total (tamaño del hogar);800
Total Nacional;41904 Palmar de Troya, El;1 persona;155
Total Nacional;41904 Palmar de Troya, El;2 personas;208
Total Nacional;41904 Palmar de Troya, El;3 personas;199
Total Nacional;41904 Palmar de Troya, El;4 personas;174
Total Nacional;41904 Palmar de Troya, El;5 o más personas;64
Total Nacional;42001 Abejar;Total (tamaño del hogar);129
Total Nacional;42001 Abejar;1 persona;60
Total Nacional;42001 Abejar;2 personas;29
Total Nacional;42001 Abejar;3 personas;18
Total Nacional;42001 Abejar;4 personas;14
Total Nacional;42001 Abejar;5 o más personas;8
Total Nacional;42003 Adradas;Total (tamaño del hogar);25
Total Nacional;42003 Adradas;1 persona;8
Total Nacional;42003 Adradas;2 personas;7
Total Nacional;42003 Adradas;3 personas;5
Total Nacional;42003 Adradas;4 personas;1
Total Nacional;42003 Adradas;5 o más personas;4
Total Nacional;42004 Ágreda;Total (tamaño del hogar);1.215
Total Nacional;42004 Ágreda;1 persona;364
Total Nacional;42004 Ágreda;2 personas;340
Total Nacional;42004 Ágreda;3 personas;224
Total Nacional;42004 Ágreda;4 personas;210
Total Nacional;42004 Ágreda;5 o más personas;77
Total Nacional;42006 Alconaba;Total (tamaño del hogar);78
Total Nacional;42006 Alconaba;1 persona;33
Total Nacional;42006 Alconaba;2 personas;12
Total Nacional;42006 Alconaba;3 personas;15
Total Nacional;42006 Alconaba;4 personas;9
Total Nacional;42006 Alconaba;5 o más personas;9
Total Nacional;42007 Alcubilla de Avellaneda;Total (tamaño del hogar);78
Total Nacional;42007 Alcubilla de Avellaneda;1 persona;49
Total Nacional;42007 Alcubilla de Avellaneda;2 personas;26
Total Nacional;42007 Alcubilla de Avellaneda;3 personas;0
