Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;01052 Samaniego;4 personas;20
Total Nacional;01052 Samaniego;5 o más personas;4
Total Nacional;01053 San Millán/Donemiliaga;Total (tamaño del hogar);292
Total Nacional;01053 San Millán/Donemiliaga;1 persona;85
Total Nacional;01053 San Millán/Donemiliaga;2 personas;94
Total Nacional;01053 San Millán/Donemiliaga;3 personas;42
Total Nacional;01053 San Millán/Donemiliaga;4 personas;45
Total Nacional;01053 San Millán/Donemiliaga;5 o más personas;26
Total Nacional;01054 Urkabustaiz;Total (tamaño del hogar);579
Total Nacional;01054 Urkabustaiz;1 persona;185
Total Nacional;01054 Urkabustaiz;2 personas;151
Total Nacional;01054 Urkabustaiz;3 personas;100
Total Nacional;01054 Urkabustaiz;4 personas;103
Total Nacional;01054 Urkabustaiz;5 o más personas;40
Total Nacional;01055 Valdegovía/Gaubea;Total (tamaño del hogar);518
Total Nacional;01055 Valdegovía/Gaubea;1 persona;241
Total Nacional;01055 Valdegovía/Gaubea;2 personas;131
Total Nacional;01055 Valdegovía/Gaubea;3 personas;80
Total Nacional;01055 Valdegovía/Gaubea;4 personas;46
Total Nacional;01055 Valdegovía/Gaubea;5 o más personas;20
Total Nacional;01056 Harana/Valle de Arana;Total (tamaño del hogar);115
Total Nacional;01056 Harana/Valle de Arana;1 persona;53
Total Nacional;01056 Harana/Valle de Arana;2 personas;31
Total Nacional;01056 Harana/Valle de Arana;3 personas;21
Total Nacional;01056 Harana/Valle de Arana;4 personas;5
Total Nacional;01056 Harana/Valle de Arana;5 o más personas;5
Total Nacional;01057 Villabuena de Álava/Eskuernaga;Total (tamaño del hogar);118
Total Nacional;01057 Villabuena de Álava/Eskuernaga;1 persona;32
Total Nacional;01057 Villabuena de Álava/Eskuernaga;2 personas;43
Total Nacional;01057 Villabuena de Álava/Eskuernaga;3 personas;19
Total Nacional;01057 Villabuena de Álava/Eskuernaga;4 personas;14
Total Nacional;01057 Villabuena de Álava/Eskuernaga;5 o más personas;10
Total Nacional;01058 Legutio;Total (tamaño del hogar);813
Total Nacional;01058 Legutio;1 persona;238
Total Nacional;01058 Legutio;2 personas;234
Total Nacional;01058 Legutio;3 personas;149
Total Nacional;01058 Legutio;4 personas;145
Total Nacional;01058 Legutio;5 o más personas;47
Total Nacional;01059 Vitoria-Gasteiz;Total (tamaño del hogar);107.165
Total Nacional;01059 Vitoria-Gasteiz;1 persona;33.223
Total Nacional;01059 Vitoria-Gasteiz;2 personas;33.280
Total Nacional;01059 Vitoria-Gasteiz;3 personas;19.913
Total Nacional;01059 Vitoria-Gasteiz;4 personas;15.690
Total Nacional;01059 Vitoria-Gasteiz;5 o más personas;5.059
Total Nacional;01060 Yécora/Iekora;Total (tamaño del hogar);102
Total Nacional;01060 Yécora/Iekora;1 persona;36
Total Nacional;01060 Yécora/Iekora;2 personas;25
Total Nacional;01060 Yécora/Iekora;3 personas;16
Total Nacional;01060 Yécora/Iekora;4 personas;14
Total Nacional;01060 Yécora/Iekora;5 o más personas;11
Total Nacional;01061 Zalduondo;Total (tamaño del hogar);85
Total Nacional;01061 Zalduondo;1 persona;30
Total Nacional;01061 Zalduondo;2 personas;26
Total Nacional;01061 Zalduondo;3 personas;16
Total Nacional;01061 Zalduondo;4 personas;8
Total Nacional;01061 Zalduondo;5 o más personas;5
Total Nacional;01062 Zambrana;Total (tamaño del hogar);184
Total Nacional;01062 Zambrana;1 persona;63
Total Nacional;01062 Zambrana;2 personas;51
Total Nacional;01062 Zambrana;3 personas;30
Total Nacional;01062 Zambrana;4 personas;30
Total Nacional;01062 Zambrana;5 o más personas;10
Total Nacional;01063 Zuia;Total (tamaño del hogar);899
Total Nacional;01063 Zuia;1 persona;258
Total Nacional;01063 Zuia;2 personas;247
Total Nacional;01063 Zuia;3 personas;162
Total Nacional;01063 Zuia;4 personas;158
Total Nacional;01063 Zuia;5 o más personas;74
Total Nacional;01901 Iruña Oka/Iruña de Oca;Total (tamaño del hogar);1.266
Total Nacional;01901 Iruña Oka/Iruña de Oca;1 persona;287
Total Nacional;01901 Iruña Oka/Iruña de Oca;2 personas;363
Total Nacional;01901 Iruña Oka/Iruña de Oca;3 personas;284
Total Nacional;01901 Iruña Oka/Iruña de Oca;4 personas;263
Total Nacional;01901 Iruña Oka/Iruña de Oca;5 o más personas;69
Total Nacional;01902 Lantarón;Total (tamaño del hogar);373
Total Nacional;01902 Lantarón;1 persona;130
Total Nacional;01902 Lantarón;2 personas;102
Total Nacional;01902 Lantarón;3 personas;57
Total Nacional;01902 Lantarón;4 personas;44
Total Nacional;01902 Lantarón;5 o más personas;40
Total Nacional;02001 Abengibre;Total (tamaño del hogar);291
Total Nacional;02001 Abengibre;1 persona;83
Total Nacional;02001 Abengibre;2 personas;87
Total Nacional;02001 Abengibre;3 personas;62
Total Nacional;02001 Abengibre;4 personas;46
Total Nacional;02001 Abengibre;5 o más personas;13
